Vendor ID,Vendor Name,Vendor Category,Business Capability,Supporting Application,Business Owner,Technology Owner,Executive Sponsor,Vendor Tier,Data Classification,Geographic Region,Regulatory Impact,Assessment Date,Assessment Expiry,Governance Score,Security Score,Business Dependency Score,Continuous Monitoring Score,Concentration & Resilience Score,Composite Score,Risk Tier,Continuous Monitoring,Contract Renewal,Assessment Half-Life (Days),Current Status,Notes
V001,Microsoft,Cloud & Productivity,Enterprise IT,Microsoft 365 / Entra ID / Sentinel,"Director, Enterprise IT Services",Enterprise Infrastructure Manager,CIO,Critical,Restricted,Global,GDPR; ISO 27001,7/1/2026,9/29/2026,95,96,98,95,65,93,Low,Yes,12/31/2027,90,Approved,Strategic enterprise cloud and productivity provider. Continuous monitoring enabled.
V002,SAP,ERP,Finance & Procurement,SAP S/4HANA,"VP, Finance & Procurement",ERP Platform Manager,CFO,Critical,Restricted,Global,GDPR; SOX,7/1/2026,9/29/2026,94,92,97,90,70,91,Low,Yes,12/31/2027,90,Approved,Enterprise ERP platform supporting finance and procurement.
V003,Snowflake,Data Platform,Enterprise Analytics,InsightOps,"Director, Enterprise Analytics",Data Platform Manager,Chief Data & AI Officer,Critical,Restricted,Global,GDPR,7/1/2026,9/29/2026,90,92,88,91,72,89,Moderate,Yes,12/31/2027,90,Approved,Strategic analytics platform hosting enterprise reporting workloads.
V004,NaviEdge Solutions,AI Edge Computing,Port Operations,PortFlow,"VP, Port Operations",Logistics Systems Manager,COO,Critical,Restricted,Global,GDPR; EU AI Act,7/1/2026,9/29/2026,82,84,96,80,60,83,Moderate,Yes,12/31/2027,90,Approved,AI-enabled edge computing platform supporting smart port operations.
V005,Salesforce,CRM,Customer Experience,NovaPortal,"Director, Customer Experience",Enterprise Applications Manager,Chief Customer Officer,High,Confidential,Global,GDPR,7/15/2026,1/11/2027,91,90,85,89,75,88,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V006,ServiceNow,IT Service Management,IT Operations,ServiceNow,"Director, Enterprise IT Services",Enterprise Applications Manager,CIO,High,Confidential,Global,GDPR,7/15/2026,1/11/2027,92,91,86,90,73,88,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V007,GitHub,Software Development,Application Development,GitHub Enterprise,"Director, Software Engineering",DevSecOps Platform Manager,CIO,High,Internal,Global,None,7/15/2026,1/11/2027,90,88,82,88,72,86,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V008,Cloudflare,Network Security,Internet Services,External Services,"Director, Infrastructure Services",Network Services Manager,CIO,High,Internal,Global,GDPR,7/15/2026,1/11/2027,89,92,83,90,71,87,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V009,CrowdStrike,Endpoint Security,Cybersecurity,EDR Platform,"Director, Cybersecurity Operations",Security Engineering Manager,CISO,High,Confidential,Global,ISO 27001,7/15/2026,1/11/2027,91,95,84,93,69,89,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
V010,Palo Alto Networks,Network Security,Cybersecurity,Firewalls,"Director, Cybersecurity Operations",Security Engineering Manager,CISO,High,Internal,Global,ISO 27001,7/15/2026,1/11/2027,91,94,85,92,68,88,Moderate,Yes,6/30/2027,180,Approved,Critical service provider. Continuous monitoring enabled.
